Word,Value,Char Count
alaska,45,6
alastor,86,7
albacore,57,8
albatross,107,9
albino,53,6
album,49,5
albums,68,6
alcazar,62,7
alchemist,90,9
alchemy,67,7
alcohol,66,7
alcoholic,78,9
alcoholics,97,10
alcoholism,107,10
alcove,58,6
alderman,68,8
ale,18,3
alec,21,4
alert,56,5
alerted,65,7
alerting,86,8
alerts,75,6
ales,37,4
alexander,84,9
alfalfa,39,7
algae,26,5
algebra,46,7
algorithms,122,10
alias,42,5
aliases,66,7
alibi,33,5
alibis,52,6
alien,41,5
alienate,67,8
alienated,71,9
alienating,92,10
alienation,100,10
aliens,60,6
alight,57,6
aligning,73,8
alike,38,5
alimony,89,7
alive,49,5
all,25,3
allee,35,5
allegation,96,10
allegations,115,11
alleged,46,7
allegedly,83,9
allegiance,69,10
allegiances,88,11
alleging,67,8
alleluia,73,8
allergic,67,8
allergies,88,9
allergy,80,7
alleviate,87,9
alley,55,5
alleys,74,6
alliance,57,8
allies,58,6
alligator,95,9
alligators,114,10
alliteration,136,12
allotted,89,8
allow,63,5
allowable,83,9
allowance,86,9
allowed,72,7
allowing,93,8
allows,82,6
alluding,80,8
allure,69,6
alluring,94,8
ally,50,4
alma,27,4
almighty,95,8
almond,59,6
almonds,78,7
almost,80,6
aloe,33,4
aloft,54,5
aloha,37,5
alone,47,5
along,49,5
alongside,86,9
aloud,53,5
alpha,38,5
alphabet,65,8
alphabetically,127,14
alphabetized,109,12
alpine,57,6
already,66,7
alright,75,7
als,32,3
also,47,4
alt,33,3
altar,52,5
alter,56,5
alteration,115,10
alterations,134,11
altercation,118,11
altered,65,7
altering,86,8
alternate,96,9
alternates,115,10
alternating,121,11
alternative,127,11
alternatives,146,12
alternator,124,10
alters,75,6
although,92,8
altitude,92,8
alto,48,4
altogether,111,10
altruistic,132,10
aluminum,104,8
alumni,70,6
alumnus,101,7
always,81,6
am,14,2
ama,15,3
amah,23,4
amaretto,93,8
amassed,62,7
amateur,79,7
amateurs,98,8
amaze,46,5
amazed,50,6
amazes,65,6
amazing,71,7
amazingly,108,9
amazon,70,6
ambassador,93,10
amber,39,5
ambiance,48,8
ambience,52,8
ambient,64,7
ambiguity,107,9
ambiguous,108,9
ambition,83,8
ambitions,102,9
ambitious,109,9
ambivalence,87,11
ambivalent,99,10
ambrosia,78,8
ambulance,72,9
ambulances,91,10
ambush,64,6
ambushed,73,8
amen,33,4
amend,37,5
amended,46,7
amendment,89,9
amendments,108,10
amends,56,6
amenities,95,9
ami,23,3
amiable,43,7
amicable,46,8
amigo,45,5
amigos,64,6
amin,37,4
amino,52,5
amiss,61,5
ammo,42,4
ammonia,66,7
ammunition,129,10
amnesia,62,7
amniotic,84,8
among,50,5
amongst,89,7
amoral,60,6
amorous,102,7
amount,84,6
amounted,93,8
amounts,103,7
amp,30,3
amphetamines,124,12
ampicillin,98,10
ample,47,5
amply,67,5
ampule,68,6
amputate,97,8
amputated,101,9
amputation,130,10
amulet,72,6
amulets,91,7
amuse,59,5
amused,63,6
amusement,111,9
amuses,78,6
amusing,84,7
an,15,2
ana,16,3
anachronism,115,11
anaesthetic,105,11
anagram,55,7
anal,28,4
analogy,75,7
analyse,77,7
analysis,100,8
analyst,92,7
analysts,111,8
analyze,84,7
analyzed,88,8
analyzing,109,9
anaphylactic,113,12
anarchist,93,9
anarchists,112,10
anarchy,70,7
anatomically,126,12
anatomy,89,7
ancestor,95,8
ancestors,114,9
anchor,59,6
anchorage,72,9
anchoring,89,9
anchors,78,7
anchovies,96,9
ancient,66,7
ancients,85,8
and,19,3
android,65,7
ane,20,3
anecdote,67,8
anecdotes,86,9
anemia,43,6
anemic,45,6
anesthesia,101,10
anesthesiologist,197,16
anesthesiology,174,14
anesthetic,104,10
anesthetics,123,11
aneurysm,116,8
anew,43,4
angel,39,5
angels,58,6
angelus,79,7
anger,45,5
angina,46,6
angiogram,85,9
angioplasty,139,11
angle,39,5
angles,58,6
angling,64,7
angora,56,6
angrier,72,7
angrily,86,7
angry,65,5
angst,61,5
anguish,79,7
anguished,88,9
ani,24,3
animal,50,6
animals,69,7
animated,67,8
animation,96,9
animosity,125,9
anise,48,5
ankle,43,5
ankles,62,6
anna,30,4
annals,61,6
annex,58,5
annihilate,93,10
annihilated,97,11
annihilation,126,12
anniversary,146,11
announce,87,8
announced,91,9
announcement,139,12
announcements,158,13
announcer,105,9
announces,106,9
announcing,112,10
annoy,69,5
annoyance,92,9
annoyances,111,10
annoyed,78,7
annoying,99,8
annoyingly,136,10
annoys,88,6
annual,63,6
annually,100,8
annul,62,5
annulled,83,8
annulment,114,9
anoint,73,6
anointed,82,8
anomalies,89,9
anomaly,81,7
anon,44,4
anonymity,136,9
anonymous,137,9
anorexia,87,8
anorexic,89,8
another,81,7
answer,80,6
answered,89,8
answering,110,9
answers,99,7
ant,35,3
antacid,52,7
antagonism,113,10
antagonistic,132,12
antagonize,112,10
antagonizing,137,12
ante,40,4
antelope,88,8
antenna,69,7
antennae,74,8
anthem,61,6
anthology,117,9
anthrax,86,7
anthropologist,189,14
anthropologists,208,15
anthropology,166,12
anti,44,4
antibiotic,102,10
antibiotics,121,11
antibodies,98,10
antibody,90,8
anticipate,98,10
anticipated,102,11
anticipating,123,12
anticipation,131,12
antics,66,6
antidepressant,165,14
antidepressants,184,15
antidote,88,8
antihistamine,142,13
antihistamines,161,14
antiquated,112,10
antique,87,7
antiques,106,8
antiquing,112,9
antiquities,144,11
antiquity,136,9
antisocial,103,10
antivenin,108,9
antler,70,6
ants,54,4
antsy,79,5
anvil,58,5
anxiety,98,7
anxious,103,7
anxiously,140,9
any,40,3
anybody,86,7
anyhow,86,6
anymore,91,7
anyone,74,6
anyplace,77,8
anything,98,8
anytime,87,7
anyway,89,6
anyways,108,7
anywhere,99,8
apache,34,6
apart,56,5
apartheid,82,9
apartment,108,9
apartments,127,10
apathy,71,6
ape,22,3
apes,41,4
apex,46,4
aphrodisiac,103,11
apiece,39,6
aplastic,81,8
apocalypse,113,10
apocalyptic,121,11
apollo,71,6
apologetic,103,10
apologies,99,9
apologise,99,9
apologize,106,9
apologized,110,10
apologizes,125,10
apologizing,131,11
apology,91,7
apostle,88,7
apostles,107,8
apostrophe,133,10
appalled,67,8
appalling,88,9
apparatus,113,9
apparel,69,7
apparent,91,8
apparently,128,10
apparition,119,10
appeal,51,6
appealed,60,8
appealing,81,9
appeals,70,7
appear,57,6
appearance,80,10
appearances,99,11
appeared,66,8
appearing,87,9
appears,76,7
appease,63,7
appeased,67,8
appendage,69,9
appendages,88,10
appendectomy,137,12
appendicitis,125,12
appendix,89,8
appetite,92,8
appetites,111,9
appetizer,116,9
appetizers,135,10
appetizing,123,10
applaud,71,7
applauded,80,9
applauding,101,10
applause,91,8
apple,50,5
applejack,75,9
apples,69,6
applesauce,99,10
appliance,77,9
appliances,96,10
applicants,111,10
application,116,11
applications,135,12
applied,63,7
applies,78,7
apply,70,5
applying,100,8
appoint,91,7
appointed,100,9
appointing,121,10
appointment,143,11
appointments,162,12
appraisal,93,9
appraise,85,8
appreciate,94,10
appreciated,98,11
appreciates,113,11
appreciation,127,12
appreciative,125,12
apprehend,87,9
apprehended,96,11
apprehension,140,12
apprehensive,138,12
apprentice,107,10
apprised,88,8
approach,78,8
approached,87,10
approaches,102,10
approaching,108,11
appropriate,135,11
appropriately,172,13
appropriations,187,14
approval,101,8
approve,93,7
approved,97,8
approving,118,9
approximate,138,11
approximately,175,13
approximation,171,13
apricot,82,7
apron,64,5
aprons,83,6
apropos,100,7
aptitude,96,8
aptly,74,5
aqua,40,4
aquarium,101,8
aquatic,72,7
ar,19,2
arachnid,58,8
arachnids,77,9
arbitrary,112,9
arbitration,127,11
arbitrator,122,10
arbor,54,5
arboretum,113,9
arc,22,3
arcade,32,6
arch,30,4
archaic,43,7
arched,39,6
archenemy,92,9
archeological,109,13
archeology,109,10
archer,53,6
arches,54,6
architect,87,9
architects,106,10
architecture,131,12
archives,85,8
arctic,54,6
ardent,62,6
are,24,3
area,25,4
areas,44,5
arena,39,5
arf,25,3
argentine,93,9
argon,55,5
arguably,87,8
argue,52,5
argued,56,6
argues,71,6
arguing,77,7
argument,99,8
argumentative,156,13
arguments,118,9
argyle,68,6
aria,29,4
arid,32,4
ariel,45,5
aright,63,6
arise,52,5
arises,71,6
aristocratic,136,12
arithmetic,106,10
ark,30,3
arm,32,3
armaments,104,9
armed,41,5
armies,65,6
arming,62,6
armor,65,5
armored,74,7
armory,90,6
armour,86,6
armpits,96,7
arms,51,4
army,57,4
aroma,48,5
arose,58,5
around,73,6
arouse,79,6
aroused,83,7
arousing,104,8
arraigned,77,9
arraignment,120,11
arrange,64,7
arranged,68,8
arrangement,116,11
arrangements,135,12
arranging,89,9
array,63,5
arrears,80,7
arrest,81,6
arrested,90,8
arresting,111,9
arrests,100,7
arrhythmia,121,10
arrival,81,7
arrivals,100,8
arrive,73,6
arrived,77,7
arrives,92,7
arriving,98,8
arrogance,82,9
arrogant,94,8
arrow,75,5
arrowhead,93,9
arrows,94,6
arroyo,92,6
arse,43,4
arsenal,70,7
arsenic,69,7
arson,67,5
arsonist,115,8
art,39,3
arterial,84,8
arteries,95,8
artery,87,6
artful,78,6
arthritis,122,9
artichoke,90,9
artichokes,109,10
article,68,7
articles,87,8
articulate,110,10
artifact,78,8
artifacts,97,9
artificial,88,10
artillery,120,9
artist,87,6
artiste,92,7
artistic,99,8
artistry,130,8
artists,106,7
arts,58,4
artsy,83,5
artwork,106,7
arty,64,4
arugula,81,7
as,20,2
asbestos,100,8
ascension,99,9
ascot,58,5
ash,28,3
ashamed,51,7
ashes,52,5
ashore,66,6
ashram,60,6
ashtray,92,7
ashtrays,111,8
aside,38,5
asinine,71,7
ask,31,3
asked,40,5
askew,59,5
asking,61,6
asks,50,4
asleep,58,6
asparagus,103,9
aspect,64,6
aspects,83,7
aspen,55,5
asphalt,77,7
asphyxiation,161,12
aspirations,141,11
aspire,68,6
aspirin,86,7
aspirins,105,8
ass,39,3
assailant,96,9
assassin,101,8
assassinate,127,11
assassination,160,13
assassins,120,9
assault,93,7
assaulted,102,9
assaulting,123,10
assaults,112,8
assemble,76,8
assembled,80,9
assembler,94,9
assemblies,104,10
assembling,101,10
assembly,96,8
assertive,118,9
assertiveness,175,13
asses,63,5
assess,82,6
assessed,91,8
assessing,112,9
assessment,134,10
asset,64,5
assets,83,6
asshole,79,7
assholes,98,8
assign,69,6
assigned,78,8
assigning,99,9
assignment,121,10
assignments,140,11
assimilate,108,10
assimilated,112,11
assist,87,6
assistance,110,10
assistant,122,9
assistants,141,10
assisted,96,8
assisting,117,9
associate,92,9
associated,96,10
associates,111,10
associating,117,11
association,125,11
associations,144,12
assorted,101,8
assortment,144,10
assume,78,6
assumed,82,7
assumes,97,7
assuming,103,8
assumption,147,10
assumptions,166,11
assurance,101,9
assurances,120,10
assure,83,6
assured,87,7
assuredly,124,9
assures,102,7
assuring,108,8
asteroid,91,8
asteroids,110,9
asthma,62,6
astonished,114,10
astonishing,135,11
astonishment,157,12
astound,94,7
astounding,124,10
astral,71,6
astray,84,6
astronaut,129,9
astronauts,148,10
astronomer,138,10
astronomical,140,12
astronomy,140,9
astrophysics,172,12
astute,86,6
asunder,82,7
asylum,91,6
at,21,2
ate,26,3
atheists,101,8
athlete,71,7
athletes,90,8
athletic,78,8
atlas,53,5
atmosphere,120,10
atom,49,4
atomic,61,6
atonement,107,9
atop,52,4
atrium,82,6
atrocious,121,9
atrocities,119,10
atrophied,96,9
atropine,98,8
att,41,3
attaboy,84,7
attach,53,6
attache,58,7
attached,62,8
attachment,105,10
attachments,124,11
attack,56,6
attacked,65,8
attacker,79,8
attackers,98,9
attacking,86,9
attacks,75,7
attain,65,6
attained,74,8
attempt,95,7
attempted,104,9
attempting,125,10
attempts,114,8
attend,64,6
attendance,87,10
attendant,99,9
attendants,118,10
attended,73,8
attending,94,9
attends,83,7
attention,118,9
attentions,137,10
attentive,116,9
attest,85,6
attic,53,5
attired,77,7
attitude,100,8
attitudes,119,9
attorney,118,8
attorneys,137,9
attract,83,7
attracted,92,9
attracting,113,10
attraction,121,10
attractive,119,10
attracts,102,8
attribute,116,9
attributed,120,10
attributes,135,10
attuned,85,7
auction,83,7
auctioneer,111,10
auctioning,113,10
audacity,84,8
audible,54,7
audience,62,8
audiences,81,9
audio,50,5
audiotape,92,9
audit,55,5
audited,64,7
auditing,85,8
audition,93,8
auditioning,123,11
auditions,112,9
auditor,88,7
auditorium,131,10
auditory,113,8
auger,52,5
aught,57,5
augmentation,140,12
august,89,6
auk,33,3
auld,38,4
aunt,56,4
auntie,70,6
aunties,89,7
aunts,75,5
aura,41,4
auras,60,5
aurora,74,6
auspicious,133,10
authentic,101,9
authenticate,127,12
authenticated,131,13
authenticity,155,12
author,83,6
authoritative,169,13
authorities,145,11
authority,137,9
authorization,177,13
authorize,123,9
authorized,127,10
authorizing,148,11
authors,102,7
autism,83,6
autistic,102,8
auto,57,4
autobiographical,158,16
autograph,107,9
autographed,116,11
autographs,126,10
automated,100,9
automatic,103,9
automatically,153,13
automatics,122,10
automaton,120,9
automobile,113,10
automobiles,132,11
automotive,141,10
autonomous,154,10
autonomy,124,8
autopsies,125,9
autopsy,117,7
autumn,90,6
auxiliary,120,9
ava,24,3
availability,123,12
available,65,9
avalanche,67,9
avatar,63,6
avatars,82,7
ave,28,3
avenge,54,6
avenged,58,7
avenger,72,7
avengers,91,8
avenue,68,6
average,59,7
averages,78,8
averse,70,6
aversion,103,8
aviation,91,8
avid,36,4
avocado,61,7
avoid,51,5
avoidance,74,9
avoided,60,7
avoiding,81,8
avoids,70,6
aw,24,2
await,54,5
awaiting,84,8
awaits,73,6
awake,41,5
awaken,55,6
awakened,64,8
awakening,85,9
awakes,60,6
award,47,5
awarded,56,7
awards,66,6
aware,48,5
awareness,105,9
away,50,4
awe,29,3
awed,33,4
awesome,81,7
awful,63,5
awfully,100,7
awhile,58,6
awkward,81,7
awkwardly,118,9
awkwardness,138,11
awoke,55,5
awol,51,4
awry,67,4
ax,25,2
axe,30,3
axel,42,4
axis,53,4
axle,42,4
ay,26,2
aye,31,3
ba,3,2
baa,4,3
baba,6,4
babble,24,6
babbling,49,8
babe,10,4
babes,29,5
babies,38,6
baboon,49,6
baboons,68,7
babu,26,4
baby,30,4
babysitter,121,10
babysitters,140,11
bach,14,4
bachelor,64,8
bachelorette,114,12
bachelors,83,9
back,17,4
backbone,53,8
backdoor,69,8
backdrop,70,8
backed,26,6
backer,40,6
backfire,55,8
backfired,59,9
backfires,74,9
backfiring,80,10
backgammon,80,10
background,96,10
backhand,44,8
backing,47,7
backpack,48,8
backpacking,78,11
backpacks,67,9
backroom,78,8
backs,36,5
backseat,62,8
backside,54,8
backslide,66,9
backstabbing,91,12
backstage,69,9
backstreet,104,10
backstroke,105,10
backup,54,6
backups,73,7
backward,63,8
backwards,82,9
backyard,65,8
bacon,35,5
bacteria,59,8
bacterial,71,9
bad,7,3
badder,34,6
baddest,55,7
badge,19,5
badgered,46,8
badgering,67,9
badges,38,6
badly,44,5
badminton,92,9
badness,64,7
baffled,36,7
baffles,51,7
baffling,57,8
bag,10,3
bagel,27,5
bagels,46,6
baggage,30,7
bagged,26,6
baggies,50,7
bagging,47,7
baggy,42,5
bagman,38,6
bagpipes,75,8
bags,29,4
bah,11,3
bail,24,4
bailed,33,6
bailey,54,6
bailiff,45,7
bailiffs,64,8
bailing,54,7
bails,43,5
bait,32,4
baited,41,6
baiting,62,7
bake,19,4
baked,23,5
baker,37,5
bakeries,70,8
bakers,56,6
bakery,62,6
bakes,38,5
baking,44,6
baklava,50,7
balance,38,7
balanced,42,8
balances,57,8
balancing,63,9
balboa,33,6
balconies,80,9
balcony,72,7
bald,19,4
balding,49,7
baldness,76,8
bale,20,4
balk,26,4
ball,27,4
ballads,51,7
ballast,67,7
balled,36,6
baller,50,6
ballerina,74,9
ballet,52,6
ballgame,53,8
ballistic,87,9
ballistics,106,10
ballon,56,6
balloon,71,7
balloons,90,8
ballot,62,6
ballots,81,7
ballpark,73,8
ballplayer,104,10
ballplayers,123,11
ballpoint,101,9
ballroom,88,8
balls,46,5
ballsy,71,6
balm,28,4
balmoral,74,8
baloney,74,7
bam,16,3
bambino,56,7
bamboo,48,6
bamboozled,95,10
ban,17,3
banal,30,5
banality,84,8
banana,33,6
bananas,52,7
band,21,4
bandage,34,7
bandages,53,8
bandit,50,6
bandits,69,7
bands,40,5
bandwagon,81,9
bane,22,4
bang,24,4
banged,33,6
bangers,66,7
banging,54,7
bangles,60,7
bangs,43,5
banish,53,6
banished,62,8
banister,88,8
banjo,42,5
bank,28,4
bankbooks,90,9
banker,51,6
bankers,70,7
banking,58,7
bankroll,85,8
bankrolled,94,10
bankrupt,103,8
bankruptcy,131,10
bankrupted,112,10
banks,47,5
banned,40,6
banner,54,6
banners,73,7
banning,61,7
bannister,102,9
banquet,80,7
banshee,54,7
banter,60,6
banzai,53,6
baptism,80,7
baptist,87,7
baptists,106,8
baptize,79,7
baptized,83,8
bar,21,3
barb,23,4
barbarian,66,9
barbarians,85,10
barbaric,54,8
barbecue,57,8
barbecued,61,9
barbecues,76,9
barbed,32,6
barber,46,6
barbers,65,7
barbershop,104,10
barbs,42,5
bard,25,4
bare,26,4
bared,30,5
barefoot,82,8
barely,63,6
barf,27,4
barfed,36,6
barfing,57,7
bargain,52,7
bargained,61,9
bargaining,82,10
barge,33,5
barged,37,6
barges,52,6
barging,58,7
baring,51,6
barium,64,6
bark,32,4
barked,41,6
barkeep,58,7
barker,55,6
barking,62,7
barks,51,5
barley,63,6
barlow,71,6
barmaid,48,7
barman,49,6
barn,35,4
barnacle,56,8
barnyard,83,8
barometer,97,9
baron,50,5
baroness,93,8
baronet,75,7
baroque,79,7
barracks,73,8
barracuda,69,9
barrage,52,7
barre,44,5
barred,48,6
barrel,56,6
barreling,86,9
barrels,75,7
barren,58,6
barricade,61,9
barricaded,65,10
barricades,80,10
barrier,71,7
barring,69,7
barrio,63,6
barrister,110,9
barroom,82,7
barrow,77,6
bars,40,4
barstool,102,8
bartender,87,9
bartending,94,10
barter,64,6
base,27,4
baseball,54,8
based,31,5
baseless,82,8
baseman,55,7
basement,79,8
basements,98,9
bases,46,5
bash,30,4
bashed,39,6
bashful,69,7
bashing,60,7
basic,34,5
basically,84,9
basics,53,6
basil,43,5
basin,45,5
basis,50,5
bask,33,4
basket,58,6
basketball,85,10
basketballs,104,11
baskets,77,7
basking,63,7
bass,41,4
bassett,86,7
bassinet,89,8
bassoon,85,7
bastard,65,7
bastards,84,8
baste,47,5
bastille,80,8
bat,23,3
batch,34,5
bates,47,5
bath,31,4
bathe,36,5
bathed,40,6
bathing,61,7
bathrobe,71,8
bathrobes,90,9
bathroom,92,8
bathrooms,111,9
baths,50,5
bathtub,74,7
batman,51,6
baton,52,5
bats,42,4
batted,52,6
batter,66,6
battered,75,8
batteries,99,9
battering,96,9
battery,91,7
batting,73,7
battle,60,6
battlefield,96,11
battleground,139,12
battles,79,7
battleship,112,10
battling,85,8
batty,68,5
bauble,43,6
baubles,62,7
bawdy,55,5
bawl,38,4
bawling,68,7
bay,28,3
bayberry,96,8
bayonet,82,7
bayou,64,5
bays,47,4
bazaar,49,6
bazooka,71,7
be,7,2
beach,19,5
beaches,43,7
beacon,40,6
beaded,21,6
beads,31,5
beagle,32,6
beak,19,4
beakers,61,7
beam,21,4
beamed,30,6
beaming,51,7
beams,40,5
bean,22,4
beanbag,32,7
beanie,36,6
beans,41,5
bear,26,4
bearable,46,8
beard,30,5
bearded,39,7
beards,49,6
