Word,Value,Char Count
abolishers,108,10
abolishes,90,9
abolishing,96,10
abolishment,118,11
abolishments,137,12
abolition,97,9
abolitionary,141,12
abolitionism,138,12
abolitionisms,157,13
abolitionist,145,12
abolitionists,164,13
abolitions,116,10
abolla,43,6
abollae,48,7
aboma,32,5
abomas,51,6
abomasa,52,7
abomasal,64,8
abomasi,60,7
abomasum,85,8
abomasus,91,8
abominable,74,10
abominably,94,10
abominate,80,9
abominated,84,10
abominates,99,10
abominating,105,11
abomination,113,11
abominations,132,12
abominator,108,10
abominators,127,11
aboon,47,5
aboral,49,6
aborally,86,8
aboriginal,88,10
aboriginally,125,12
aboriginals,107,11
aborigine,80,9
aborigines,99,10
aborning,80,8
abort,56,5
aborted,65,7
aborter,79,7
aborters,98,8
abortifacient,123,13
abortifacients,142,14
aborting,86,8
abortion,94,8
abortionist,142,11
abortionists,161,12
abortions,113,9
abortive,92,8
abortively,129,10
abortiveness,149,12
abortivenesses,173,14
aborts,75,6
abos,37,4
abought,74,7
aboulia,61,7
aboulias,80,8
aboulic,63,7
abound,57,6
abounded,66,8
abounding,87,9
abounds,76,7
about,59,5
above,45,5
aboveboard,85,10
aboveground,124,11
aboves,64,6
abracadabra,52,11
abracadabras,71,12
abrachia,43,8
abrachias,62,9
abradable,46,9
abradant,61,8
abradants,80,9
abrade,31,6
abraded,35,7
abrader,49,7
abraders,68,8
abrades,50,7
abrading,56,8
abrasion,79,8
abrasions,98,9
abrasive,77,8
abrasively,114,10
abrasiveness,134,12
abrasivenesses,158,14
abrasives,96,9
abreact,50,7
abreacted,59,9
abreacting,80,10
abreaction,88,10
abreactions,107,11
abreacts,69,8
abreast,66,7
abri,30,4
abridge,46,7
abridged,50,8
abridgement,98,11
abridgements,117,12
abridger,64,8
abridgers,83,9
abridges,65,8
abridging,71,9
abridgment,93,10
abridgments,112,11
abris,49,5
abroach,48,7
abroad,41,6
abrogate,69,8
abrogated,73,9
abrogates,88,9
abrogating,94,10
abrogation,102,10
abrogations,121,11
abrosia,65,7
abrosias,84,8
abrupt,78,6
abrupter,101,8
abruptest,122,9
abruption,116,9
abruptions,135,10
abruptly,115,8
abruptness,135,10
abruptnesses,159,12
abs,22,3
abscess,68,7
abscessed,77,9
abscesses,92,9
abscessing,98,10
abscise,58,7
abscised,62,8
abscises,77,8
abscisin,76,8
abscising,83,9
abscisins,95,9
abscissa,73,8
abscissae,78,9
abscissas,92,9
abscission,110,10
abscissions,129,11
abscond,58,7
absconded,67,9
absconder,81,9
absconders,100,10
absconding,88,10
absconds,77,8
abseil,48,6
abseiled,57,8
abseiling,78,9
abseils,67,7
absence,49,7
absences,68,8
absent,61,6
absented,70,8
absentee,71,8
absenteeism,112,11
absenteeisms,131,12
absentees,90,9
absenter,84,8
absenters,103,9
absenting,91,9
absently,98,8
absentminded,110,12
absentmindedly,147,14
absentmindedness,167,16
absentmindednesses,191,18
absents,80,7
absinth,73,7
absinthe,78,8
absinthes,97,9
absinths,92,8
absolute,95,8
absolutely,132,10
absoluteness,152,12
absolutenesses,176,14
absoluter,113,9
absolutes,114,9
absolutest,134,10
absolution,128,10
absolutions,147,11
absolutism,131,10
absolutisms,150,11
absolutist,138,10
absolutistic,150,12
absolutists,157,11
absolutive,126,10
absolutize,130,10
absolutized,134,11
absolutizes,149,11
absolutizing,155,12
absolve,76,7
absolved,80,8
absolver,94,8
absolvers,113,9
absolves,95,8
absolving,101,9
absonant,86,8
absorb,57,6
absorbabilities,143,15
absorbability,135,13
absorbable,77,10
absorbance,80,10
absorbances,99,11
absorbancies,108,12
absorbancy,100,10
absorbant,92,9
absorbants,111,10
absorbed,66,8
absorbencies,112,12
absorbency,104,10
absorbent,96,9
absorbents,115,10
absorber,80,8
absorbers,99,9
absorbing,87,9
absorbingly,124,11
absorbs,76,7
absorptance,114,11
absorptances,133,12
absorption,129,10
absorptions,148,11
absorptive,127,10
absorptivities,184,14
absorptivity,176,12
absquatulate,140,12
absquatulated,144,13
absquatulates,159,13
absquatulating,165,14
abstain,66,7
abstained,75,9
abstainer,89,9
abstainers,108,10
abstaining,96,10
abstains,85,8
abstemious,124,10
abstemiously,161,12
abstemiousness,181,14
abstemiousnesses,205,16
abstention,119,10
abstentions,138,11
abstentious,145,11
absterge,77,8
absterged,81,9
absterges,96,9
absterging,102,10
abstinence,92,10
abstinences,111,11
abstinent,104,9
abstinently,141,11
abstract,84,8
abstractable,104,12
abstracted,93,10
abstractedly,130,12
abstractedness,150,14
abstractednesses,174,16
abstracter,107,10
abstracters,126,11
abstractest,128,11
abstracting,114,11
abstraction,122,11
abstractional,135,13
abstractionism,163,14
abstractionisms,182,15
abstractionist,170,14
abstractionists,189,15
abstractions,141,12
abstractive,120,11
abstractly,121,10
abstractness,141,12
abstractnesses,165,14
abstractor,117,10
abstractors,136,11
abstracts,103,9
abstrict,92,8
abstricted,101,10
abstricting,122,11
abstricts,111,9
abstruse,105,8
abstrusely,142,10
abstruseness,162,12
abstrusenesses,186,14
abstruser,123,9
abstrusest,144,10
abstrusities,162,12
abstrusity,154,10
absurd,65,6
absurder,88,8
absurdest,109,9
absurdism,106,9
absurdisms,125,10
absurdist,113,9
absurdists,132,10
absurdities,127,11
absurdity,119,9
absurdly,102,8
absurdness,122,10
absurdnesses,146,12
absurds,84,7
abubble,45,7
abuilding,79,9
abulia,46,6
abulias,65,7
abulic,48,6
abundance,65,9
abundances,84,10
abundant,77,8
abundantly,114,10
abusable,63,8
abuse,48,5
abused,52,6
abuser,66,6
abusers,85,7
abuses,67,6
abusing,73,7
abusive,79,7
abusively,116,9
abusiveness,136,11
abusivenesses,160,13
abut,44,4
abutilon,94,8
abutilons,113,9
abutment,96,8
abutments,115,9
abuts,63,5
abuttal,77,7
abuttals,96,8
abutted,73,7
abutter,87,7
abutters,106,8
abutting,94,8
abuzz,76,5
abvolt,72,6
abvolts,91,7
abwatt,67,6
abwatts,86,7
aby,28,3
abye,33,4
abyes,52,5
abying,58,6
abys,47,4
abysm,60,5
abysmal,73,7
abysmally,110,9
abysms,79,6
abyss,66,5
abyssal,79,7
abysses,90,7
acacia,18,6
acacias,37,7
academe,32,7
academes,51,8
academia,37,8
academias,56,9
academic,39,8
academical,52,10
academically,89,12
academician,63,11
academicians,82,12
academicism,80,11
academicisms,99,12
academics,58,9
academies,60,9
academism,68,9
academisms,87,10
academy,52,7
acajou,51,6
acajous,70,7
acaleph,46,7
acalephae,52,9
acalephe,51,8
acalephes,70,9
acalephs,65,8
acanthi,56,7
acanthocephalan,122,15
acanthocephalans,141,16
acanthus,87,8
acanthuses,111,10
acapnia,45,7
acapnias,64,8
acari,32,5
acariases,76,9
acariasis,80,9
acaricidal,61,10
acaricide,53,9
acaricides,72,10
acarid,36,6
acaridan,51,8
acaridans,70,9
acarids,55,7
acarine,51,7
acarines,70,8
acaroid,51,7
acarpous,94,8
acarus,63,6
acatalectic,78,11
acatalectics,97,12
acaudal,43,7
acaudate,56,8
acaulescent,104,11
acauline,66,8
acaulose,77,8
acaulous,93,8
accede,21,6
acceded,25,7
acceder,39,7
acceders,58,8
accedes,40,7
acceding,46,8
accelerando,81,11
accelerandos,100,12
accelerant,82,10
accelerants,101,11
accelerate,73,10
accelerated,77,11
accelerates,92,11
accelerating,98,12
acceleratingly,135,14
acceleration,106,12
accelerations,125,13
accelerative,104,12
accelerator,101,11
accelerators,120,12
accelerometer,123,13
accelerometers,142,14
accent,46,6
accented,55,8
accenting,76,9
accentless,101,10
accentor,79,8
accentors,98,9
accents,65,7
accentual,80,9
accentually,117,11
accentuate,93,10
accentuated,97,11
accentuates,112,11
accentuating,118,12
accentuation,126,12
accentuations,145,13
accept,48,6
acceptabilities,134,15
acceptability,126,13
acceptable,68,10
acceptableness,125,14
acceptablenesses,149,16
acceptably,88,10
acceptance,71,10
acceptances,90,11
acceptant,83,9
acceptation,107,11
acceptations,126,12
accepted,57,8
acceptedly,94,10
acceptee,58,8
acceptees,77,9
accepter,71,8
accepters,90,9
accepting,78,9
acceptingly,115,11
acceptingness,135,13
acceptingnesses,159,15
acceptive,84,9
acceptor,81,8
acceptors,100,9
accepts,67,7
access,50,6
accessaries,102,11
accessary,94,9
accessed,59,8
accesses,74,8
accessibilities,144,15
accessibility,136,13
accessible,78,10
accessibleness,135,14
accessiblenesses,159,16
accessibly,98,10
accessing,80,9
accession,88,9
accessional,101,11
accessioned,97,11
accessioning,118,12
accessions,107,10
accessorial,105,11
accessories,116,11
accessorise,116,11
accessorised,120,12
accessorises,135,12
accessorising,141,13
accessorize,123,11
accessorized,127,12
accessorizes,142,12
accessorizing,148,13
accessory,108,9
acciaccatura,84,12
acciaccaturas,103,13
accidence,47,9
accidences,66,10
accident,59,8
accidental,72,10
accidentally,109,12
accidentalness,129,14
accidentalnesses,153,16
accidentals,91,11
accidently,96,10
accidents,78,9
accidia,30,7
accidias,49,8
accidie,34,7
accidies,53,8
accipiter,84,9
accipiters,103,10
accipitrine,107,11
accipitrines,126,12
acclaim,42,7
acclaimed,51,9
acclaimer,65,9
acclaimers,84,10
acclaiming,72,10
acclaims,61,8
acclamation,92,11
acclamations,111,12
acclimate,67,9
acclimated,71,10
acclimates,86,10
acclimating,92,11
acclimation,100,11
acclimations,119,12
acclimatise,95,11
acclimatised,99,12
acclimatises,114,12
acclimatising,120,13
acclimatization,156,15
acclimatizations,175,16
acclimatize,102,11
acclimatized,106,12
acclimatizer,120,12
acclimatizers,139,13
acclimatizes,121,12
acclimatizing,127,13
acclivities,112,11
acclivity,104,9
accolade,44,8
accolades,63,9
accommodate,93,11
accommodated,97,12
accommodates,112,12
accommodating,118,13
accommodatingly,155,15
accommodation,126,13
accommodational,139,15
accommodationist,174,16
accommodationists,193,17
accommodations,145,14
accommodative,124,13
accommodativeness,181,17
accommodativenesses,205,19
accommodator,121,12
accommodators,140,13
accompanied,84,11
accompanies,99,11
accompaniment,127,13
accompaniments,146,14
accompanist,114,11
accompanists,133,12
accompany,91,9
accompanying,121,12
accomplice,80,10
accomplices,99,11
accomplish,99,10
accomplishable,119,14
accomplished,108,12
accomplisher,122,12
accomplishers,141,13
accomplishes,123,12
accomplishing,129,13
accomplishment,151,14
accomplishments,170,15
accord,44,6
accordance,67,10
accordances,86,11
accordant,79,9
accordantly,116,11
accorded,53,8
accorder,67,8
accorders,86,9
according,74,9
accordingly,111,11
accordion,82,9
accordionist,130,12
accordionists,149,13
accordions,101,10
accords,63,7
accost,61,6
accosted,70,8
accosting,91,9
accosts,80,7
accouchement,111,12
accouchements,130,13
accoucheur,98,10
accoucheurs,117,11
account,77,7
accountabilities,163,16
accountability,155,14
accountable,97,11
accountableness,154,15
accountablenesses,178,17
accountably,117,11
accountancies,128,13
accountancy,120,11
accountant,112,10
accountants,131,11
accountantship,164,14
accountantships,183,15
accounted,86,9
accounting,107,10
accountings,126,11
accounts,96,8
accouter,86,8
accoutered,95,10
accoutering,116,11
accouterment,138,12
accouterments,157,13
accouters,105,9
accoutre,86,8
accoutred,90,9
accoutrement,138,12
accoutrements,157,13
accoutres,105,9
accoutring,111,10
accredit,63,8
accreditable,83,12
accreditation,122,13
accreditations,141,14
accredited,72,10
accrediting,93,11
accredits,82,9
accrete,55,7
accreted,59,8
accretes,74,8
accreting,80,9
accretion,88,9
accretionary,132,12
accretions,107,10
accretive,86,9
accruable,66,9
accrual,59,7
accruals,78,8
accrue,51,6
accrued,55,7
accruement,103,10
accruements,122,11
accrues,70,7
accruing,76,8
acculturate,125,11
acculturated,129,12
acculturates,144,12
acculturating,150,13
acculturation,158,13
acculturational,171,15
acculturations,177,14
acculturative,156,13
accumulate,100,10
accumulated,104,11
accumulates,119,11
accumulating,125,12
accumulation,133,12
accumulations,152,13
accumulative,131,12
accumulatively,168,14
accumulativeness,188,16
accumulativenesses,212,18
accumulator,128,11
accumulators,147,12
accuracies,83,10
accuracy,75,8
accurate,72,8
accurately,109,10
accurateness,129,12
accuratenesses,153,14
accursed,74,8
accursedly,111,10
accursedness,131,12
accursednesses,155,14
accurst,85,7
accusal,60,7
accusals,79,8
accusant,82,8
accusants,101,9
accusation,106,10
accusations,125,11
accusative,104,10
accusatives,123,11
accusatory,126,10
accuse,52,6
accused,56,7
accuser,70,7
accusers,89,8
accuses,71,7
accusing,77,8
accusingly,114,10
accustom,95,8
accustomation,154,13
accustomations,173,14
accustomed,104,10
accustomedness,161,14
accustomednesses,185,16
accustoming,125,11
accustoms,114,9
ace,9,3
aced,13,4
acedia,23,6
acedias,42,7
aceldama,40,8
aceldamas,59,9
acellular,85,9
acentric,73,8
acephalous,101,10
acequia,57,7
acequias,76,8
acerate,53,7
acerated,57,8
acerb,29,5
acerbate,55,8
acerbated,59,9
acerbates,74,9
acerbating,80,10
acerber,52,7
acerbest,73,8
acerbic,41,7
acerbically,91,11
acerbities,91,10
acerbity,83,8
acerola,55,7
acerolas,74,8
acerose,66,7
acerous,82,7
acervate,75,8
acervuli,91,8
acervulus,122,9
aces,28,4
acescent,70,8
acescents,89,9
aceta,30,5
acetabula,66,9
acetabular,84,10
acetabulum,99,10
acetabulums,118,11
acetal,42,6
acetaldehyde,93,12
acetaldehydes,112,13
acetals,61,7
acetamid,56,8
acetamide,61,9
acetamides,80,10
acetamids,75,9
acetaminophen,124,13
acetaminophens,143,14
acetanilid,78,10
acetanilide,83,11
acetanilides,102,12
acetanilids,97,11
acetate,55,7
acetated,59,8
acetates,74,8
acetazolamide,115,13
acetazolamides,134,14
acetic,41,6
acetification,115,13
acetifications,134,14
acetified,62,9
acetifies,77,9
acetify,69,7
acetifying,99,10
acetin,52,6
acetins,71,7
acetone,63,7
acetones,82,8
acetonic,70,8
acetonitrile,131,12
acetonitriles,150,13
acetophenetidin,148,15
acetophenetidins,167,16
acetose,68,7
acetous,84,7
acetoxyl,105,8
acetoxyls,124,9
acetum,63,6
acetyl,66,6
acetylate,92,9
acetylated,96,10
acetylates,111,10
acetylating,117,11
acetylation,125,11
acetylations,144,12
acetylative,123,11
acetylcholine,132,13
acetylcholines,151,14
acetylcholinesterase,219,20
acetylcholinesterases,238,21
acetylene,90,9
acetylenes,109,10
acetylenic,97,10
acetylic,78,8
acetyls,85,7
acetylsalicylate,173,16
acetylsalicylates,192,17
achalasia,55,9
achalasias,74,10
ache,17,4
ached,21,5
achene,36,6
achenes,55,7
achenial,53,8
aches,36,5
achier,44,6
achiest,65,7
achievable,68,10
achieve,53,7
achieved,57,8
achievement,105,11
achievements,124,12
achiever,71,8
achievers,90,9
achieves,72,8
achieving,78,9
achillea,51,8
achilleas,70,9
achiness,78,8
achinesses,102,10
aching,42,6
achingly,79,8
achiote,61,7
achiotes,80,8
achlorhydria,122,12
achlorhydrias,141,13
achlorhydric,124,12
acholia,49,7
acholias,68,8
achondrite,97,10
achondrites,116,11
achondritic,104,11
achondroplasia,136,14
achondroplasias,155,15
achondroplastic,158,15
achoo,42,5
achromat,79,8
achromatic,91,10
achromatically,141,14
achromatism,120,11
achromatisms,139,12
achromatize,119,11
achromatized,123,12
achromatizes,138,12
achromatizing,144,13
achromats,98,9
achromic,70,8
achy,37,4
acicula,50,7
aciculae,55,8
acicular,68,8
aciculas,69,8
aciculum,83,8
aciculums,102,9
acid,17,4
acidemia,45,8
acidemias,64,9
acidhead,35,8
acidheads,54,9
acidic,29,6
acidification,103,13
acidifications,122,14
acidified,50,9
acidifier,64,9
acidifiers,83,10
acidifies,65,9
acidify,57,7
acidifying,87,10
acidimeter,87,10
acidimeters,106,11
acidimetric,94,11
acidimetries,115,12
acidimetry,107,10
acidities,79,9
acidity,71,7
acidly,54,6
acidness,74,8
acidnesses,98,10
acidophil,77,9
acidophile,82,10
acidophiles,101,11
acidophilic,89,11
acidophils,96,10
acidoses,75,8
acidosis,79,8
acidotic,64,8
acids,36,5
acidulate,76,9
acidulated,80,10
acidulates,95,10
acidulating,101,11
acidulation,109,11
acidulations,128,12
acidulent,89,9
acidulous,105,9
aciduria,66,8
acidurias,85,9
acidy,42,5
acierate,62,8
acierated,66,9
acierates,81,9
acierating,87,10
aciform,65,7
acinar,46,6
acing,34,5
acini,36,5
acinic,39,6
acinose,66,7
acinous,82,7
acinus,67,6
ackee,25,5
ackees,44,6
acknowledge,100,11
acknowledged,104,12
acknowledgedly,141,14
acknowledgement,152,15
acknowledgements,171,16
acknowledges,119,12
acknowledging,125,13
acknowledgment,147,14
acknowledgments,166,15
aclinic,51,7
acmatic,50,7
acme,22,4
acmes,41,5
acmic,29,5
acne,23,4
acned,27,5
acnes,42,5
acnode,42,6
acnodes,61,7
acock,33,5
acoelomate,90,10
acoelomates,109,11
acold,35,5
acolyte,81,7
acolytes,100,8
aconite,67,7
aconites,86,8
aconitic,74,8
aconitum,96,8
aconitums,115,9
acorn,51,5
acorns,70,6
acoustic,91,8
acoustical,104,10
acoustically,141,12
acoustician,115,11
acousticians,134,12
acoustics,110,9
acquaint,86,8
acquaintance,109,12
acquaintances,128,13
acquaintanceship,161,16
acquaintanceships,180,17
acquainted,95,10
acquainting,116,11
acquaints,105,9
acquest,86,7
acquests,105,8
acquiesce,83,9
acquiesced,87,10
acquiescence,105,12
acquiescences,124,13
acquiescent,117,11
acquiescently,154,13
acquiesces,102,10
acquiescing,108,11
acquirable,89,10
acquire,74,7
acquired,78,8
acquirement,126,11
acquirements,145,12
acquirer,92,8
acquirers,111,9
acquires,93,8
acquiring,99,9
acquisition,137,11
acquisitional,150,13
acquisitions,156,12
acquisitive,135,11
acquisitively,172,13
acquisitiveness,192,15
acquisitivenesses,216,17
acquisitor,132,10
acquisitors,151,11
acquit,71,6
acquits,90,7
acquittal,104,9
acquittals,123,10
acquittance,114,11
acquittances,133,12
acquitted,100,9
acquitter,114,9
acquitters,133,10
acquitting,121,10
acrasia,52,7
acrasias,71,8
acrasin,65,7
acrasins,84,8
acre,27,4
acreage,40,7
acreages,59,8
acred,31,5
acres,46,5
acrid,35,5
acrider,58,7
acridest,79,8
acridine,63,8
acridines,82,9
acridities,97,10
acridity,89,8
acridly,72,7
acridness,92,9
acridnesses,116,11
acriflavine,100,11
acriflavines,119,12
acrimonies,106,10
acrimonious,137,11
acrimoniously,174,13
acrimoniousness,194,15
acrimoniousnesses,218,17
acrimony,98,8
acritarch,81,9
acritarchs,100,10
acrobat,60,7
acrobatic,72,9
acrobatically,122,13
acrobatics,91,10
acrobats,79,8
acrocentric,109,11
acrocentrics,128,12
acrodont,90,8
acrodonts,109,9
acrogen,63,7
acrogens,82,8
acrolect,77,8
acrolects,96,9
acrolein,77,8
acroleins,96,9
acrolith,86,8
acroliths,105,9
acromegalic,87,11
acromegalics,106,12
acromegalies,108,12
acromegaly,100,10
acromia,60,7
acromial,72,8
acromion,88,8
acromions,107,9
acronic,63,7
acronym,89,7
acronymic,101,9
acronymically,151,13
acronyms,108,8
acropetal,91,9
acropetally,128,11
acrophobe,83,9
acrophobes,102,10
acrophobia,88,10
acrophobias,107,11
acropolis,108,9
acropolises,132,11
acrosomal,97,9
acrosome,89,8
acrosomes,108,9
across,75,6
acrostic,88,8
acrostical,101,10
acrostically,138,12
acrostics,107,9
acrotic,69,7
acrotism,98,8
acrotisms,117,9
acrylamide,91,10
acrylamides,110,11
acrylate,85,8
acrylates,104,9
acrylic,71,7
acrylics,90,8
acrylonitrile,161,13
acrylonitriles,180,14
act,24,3
acta,25,4
actabilities,110,12
actability,102,10
actable,44,7
acted,33,5
actin,47,5
actinal,60,7
acting,54,6
actings,73,7
actinia,57,7
actiniae,62,8
actinian,71,8
actinians,90,9
actinias,76,8
actinic,59,7
actinically,109,11
actinide,65,8
actinides,84,9
actinism,88,8
actinisms,107,9
actinium,90,8
actiniums,109,9
actinoid,75,8
actinoids,94,9
actinolite,108,10
actinolites,127,11
actinometer,123,11
actinometers,142,12
actinometric,130,12
actinometries,151,13
actinometry,143,11
actinomorphic,144,13
actinomorphies,165,14
actinomorphy,157,12
actinomyces,127,11
actinomycete,133,12
actinomycetes,152,13
actinomycetous,183,14
actinomycin,126,11
actinomycins,145,12
actinomycoses,161,13
actinomycosis,165,13
actinomycotic,150,13
actinon,76,7
actinons,95,8
actins,66,6
action,62,6
actionable,82,10
actionably,102,10
actionless,117,10
actions,81,7
activate,81,8
activated,85,9
activates,100,9
activating,106,10
activation,114,10
activations,133,11
activator,109,9
activators,128,10
active,60,6
actively,97,8
activeness,117,10
activenesses,141,12
actives,79,7
activism,96,8
activisms,115,9
activist,103,8
activistic,115,10
activists,122,9
activities,117,10
activity,109,8
activize,95,8
activized,99,9
activizes,114,9
activizing,120,10
actomyosin,134,10
actomyosins,153,11
actor,57,5
actorish,93,8
actors,76,6
actress,85,7
actresses,109,9
actressy,110,8
acts,43,4
actual,58,6
actualities,120,11
actuality,112,9
actualization,152,13
actualizations,171,14
actualize,98,9
actualized,102,10
actualizes,117,10
actualizing,123,11
actually,95,8
actuarial,86,9
actuarially,123,11
actuaries,97,9
actuary,89,7
actuate,71,7
actuated,75,8
actuates,90,8
actuating,96,9
actuation,104,9
actuations,123,10
actuator,99,8
actuators,118,9
acuate,51,6
acuities,87,8
acuity,79,6
aculeate,68,8
aculei,51,6
aculeus,82,7
acumen,57,6
acumens,76,7
acuminate,87,9
acupressure,146,11
acupressures,165,12
acupuncture,143,11
acupunctures,162,12
acupuncturist,186,13
acupuncturists,205,14
acutance,68,8
acutances,87,9
acute,50,5
acutely,87,7
acuteness,107,9
acutenesses,131,11
acuter,68,6
acutes,69,6
acutest,89,7
acyclic,56,7
acyclovir,108,9
acyclovirs,127,10
acyl,41,4
acylate,67,7
acylated,71,8
acylates,86,8
acylating,92,9
acylation,100,9
acylations,119,10
acyloin,79,7
acyloins,98,8
acyls,60,5
ad,5,2
adage,18,5
adages,37,6
adagial,35,7
adagio,37,6
adagios,56,7
adamance,42,8
adamances,61,9
adamancies,70,10
adamancy,62,8
adamant,54,7
adamantine,82,10
adamantly,91,9
adamants,73,8
adamsite,72,8
adamsites,91,9
adapt,42,5
adaptabilities,128,14
adaptability,120,12
adaptable,62,9
adaptation,101,10
adaptational,114,12
adaptationally,151,14
adaptations,120,11
adapted,51,7
adaptedness,108,11
adaptednesses,132,13
adapter,65,7
adapters,84,8
adapting,72,8
adaption,80,8
adaptions,99,9
adaptive,78,8
adaptively,115,10
adaptiveness,135,12
adaptivenesses,159,14
adaptivities,135,12
adaptivity,127,10
adaptor,75,7
adaptors,94,8
adapts,61,6
adaxial,52,7
add,9,3
addable,29,7
addax,34,5
addaxes,58,7
added,18,5
addedly,55,7
addend,32,6
addenda,33,7
addends,51,7
addendum,66,8
adder,32,5
adders,51,6
addible,37,7
addict,41,6
addicted,50,8
addicting,71,9
addiction,79,9
addictions,98,10
addictive,77,9
addicts,60,7
adding,39,6
addition,76,8
additional,89,10
additionally,126,12
additions,95,9
additive,74,8
additively,111,10
additives,93,9
additivities,131,12
